id,type,value,line,column,category,scope
a,entero,0,8,2,Variable,global
a1,entero,0,8,69,Variable,global
b,entero,0,8,3,Variable,global
b1,entero,0,8,70,Variable,global
c,entero,(a + (b * 2)),1,14,Variable,global
cadena,texto,"El resultado es:",1,16,Variable,global
cond,bool,(((a <= b) && (b != 0)) || (a > 2)),1,38,Variable,global
expr1,entero,(a1 + b1),1,91,Variable,global
expr10,bool,(a1 <= b1),1,100,Variable,global
expr11,bool,(a1 >= b1),1,101,Variable,global
expr12,bool,(expr6 && (a1 < 10)),1,102,Variable,global
expr13,bool,(expr7 || (b1 > 5)),1,103,Variable,global
expr14,bool,!expr13,1,104,Variable,global
expr2,entero,(expr1 - 2),1,92,Variable,global
expr3,entero,(expr2 * a1),1,93,Variable,global
expr4,entero,0,8,74,Variable,global
expr5,entero,0,8,75,Variable,global
expr6,bool,(a1 < b1),1,96,Variable,global
expr7,bool,(a1 > b1),1,97,Variable,global
expr8,bool,(a1 == b1),1,98,Variable,global
expr9,bool,(a1 != b1),1,99,Variable,global
flag,bool,verdadero,1,62,Variable,global
i,entero,(i + 1),20,45,Variable,global
resultado,entero,((a + b) * (a - b)),1,15,Variable,global
s,texto,"",7,85,Variable,global
x,entero,(x + 1),3,57,Variable,global
